type,doc_size,block_size,loc_err,pair_err
block_uniform,124,31,9,12
centered_uniform,124,31,6,8
centered_triangular,124,31,4,6
block_uniform,252,63,20,25
centered_uniform,252,63,14,18
centered_triangular,252,63,9,13
block_uniform,500,125,41,51
centered_uniform,500,125,29,37
centered_triangular,500,125,19,26
block_uniform,1000,250,82,103
centered_uniform,1000,250,60,75
centered_triangular,1000,250,40,54
block_uniform,2000,500,166,207
centered_uniform,2000,500,121,152
centered_triangular,2000,500,80,108
block_uniform,4000,1000,332,416
centered_uniform,4000,1000,242,305
centered_triangular,4000,1000,161,217
block_uniform,248,31,9,13
centered_uniform,248,31,6,9
centered_triangular,248,31,4,6
block_uniform,504,63,20,27
centered_uniform,504,63,14,19
centered_triangular,504,63,9,13
block_uniform,1000,125,41,54
centered_uniform,1000,125,30,39
centered_triangular,1000,125,19,27
block_uniform,2000,250,82,109
centered_uniform,2000,250,60,79
centered_triangular,2000,250,40,55
block_uniform,4000,500,166,220
centered_uniform,4000,500,122,159
centered_triangular,4000,500,81,112
block_uniform,8000,1000,332,441
centered_uniform,8000,1000,246,319
centered_triangular,8000,1000,163,224
block_uniform,372,31,9,13
centered_uniform,372,31,6,9
centered_triangular,372,31,4,6
block_uniform,756,63,20,27
centered_uniform,756,63,14,19
centered_triangular,756,63,9,13
block_uniform,1500,125,41,55
centered_uniform,1500,125,30,39
centered_triangular,1500,125,20,27
block_uniform,3000,250,82,111
centered_uniform,3000,250,61,80
centered_triangular,3000,250,40,56
block_uniform,6000,500,166,224
centered_uniform,6000,500,123,161
centered_triangular,6000,500,82,113
block_uniform,12000,1000,332,449
centered_uniform,12000,1000,247,323
centered_triangular,12000,1000,164,227
block_uniform,496,31,9,13
centered_uniform,496,31,6,9
centered_triangular,496,31,4,6
block_uniform,1008,63,20,28
centered_uniform,1008,63,15,19
centered_triangular,1008,63,9,13
block_uniform,2000,125,41,56
centered_uniform,2000,125,30,40
centered_triangular,2000,125,20,27
block_uniform,4000,250,82,113
centered_uniform,4000,250,61,81
centered_triangular,4000,250,40,56
block_uniform,8000,500,166,226
centered_uniform,8000,500,123,162
centered_triangular,8000,500,82,114
block_uniform,16000,1000,332,454
centered_uniform,16000,1000,247,326
centered_triangular,16000,1000,165,228
block_uniform,620,31,9,13
centered_uniform,620,31,6,9
centered_triangular,620,31,4,6
block_uniform,1260,63,20,28
centered_uniform,1260,63,14,19
centered_triangular,1260,63,9,13
block_uniform,2500,125,41,56
centered_uniform,2500,125,30,40
centered_triangular,2500,125,19,28
block_uniform,5000,250,82,113
centered_uniform,5000,250,61,81
centered_triangular,5000,250,40,57
block_uniform,10000,500,166,227
centered_uniform,10000,500,123,163
centered_triangular,10000,500,82,114
block_uniform,20000,1000,332,456
centered_uniform,20000,1000,248,327
centered_triangular,20000,1000,165,229
